validation: epoch: 0, nrg_mae: 9.432513236999512 meV/atom, force_mae: 48.636024475097656 meV/AA, max fae: 1278.050048828125 meV/AA 
validation: epoch: 1, nrg_mae: 7.22135066986084 meV/atom, force_mae: 47.587852478027344 meV/AA, max fae: 1256.3321533203125 meV/AA 
validation: epoch: 2, nrg_mae: 6.058650970458984 meV/atom, force_mae: 45.734718322753906 meV/AA, max fae: 1285.8408203125 meV/AA 
validation: epoch: 3, nrg_mae: 6.422797203063965 meV/atom, force_mae: 44.84880447387695 meV/AA, max fae: 1279.3250732421875 meV/AA 
validation: epoch: 4, nrg_mae: 5.611705780029297 meV/atom, force_mae: 43.31998825073242 meV/AA, max fae: 1257.3966064453125 meV/AA 
validation: epoch: 5, nrg_mae: 5.283935070037842 meV/atom, force_mae: 41.59465408325195 meV/AA, max fae: 1208.455810546875 meV/AA 
validation: epoch: 6, nrg_mae: 4.780000686645508 meV/atom, force_mae: 40.862030029296875 meV/AA, max fae: 1173.0750732421875 meV/AA 
validation: epoch: 7, nrg_mae: 4.446711540222168 meV/atom, force_mae: 39.7600212097168 meV/AA, max fae: 1144.65576171875 meV/AA 
validation: epoch: 8, nrg_mae: 4.661810874938965 meV/atom, force_mae: 39.02764129638672 meV/AA, max fae: 1121.7352294921875 meV/AA 
validation: epoch: 9, nrg_mae: 4.762467384338379 meV/atom, force_mae: 38.171905517578125 meV/AA, max fae: 1120.7149658203125 meV/AA 
validation: epoch: 10, nrg_mae: 4.409946918487549 meV/atom, force_mae: 37.630184173583984 meV/AA, max fae: 1067.755859375 meV/AA 
validation: epoch: 11, nrg_mae: 4.336660861968994 meV/atom, force_mae: 36.9748649597168 meV/AA, max fae: 1058.9619140625 meV/AA 
validation: epoch: 12, nrg_mae: 4.0670037269592285 meV/atom, force_mae: 36.35733413696289 meV/AA, max fae: 1043.9434814453125 meV/AA 
validation: epoch: 13, nrg_mae: 3.8631174564361572 meV/atom, force_mae: 35.81722640991211 meV/AA, max fae: 1016.0382080078125 meV/AA 
