validation: epoch: 0, nrg_mae: 5.398504257202148 meV/atom, force_mae: 17.83388900756836 meV/AA, max fae: 568.385009765625 meV/AA 
validation: epoch: 10, nrg_mae: 0.6596237421035767 meV/atom, force_mae: 5.380725860595703 meV/AA, max fae: 213.10496520996094 meV/AA 
validation: epoch: 20, nrg_mae: 0.40077418088912964 meV/atom, force_mae: 5.384609699249268 meV/AA, max fae: 155.5511016845703 meV/AA 
validation: epoch: 30, nrg_mae: 0.37570297718048096 meV/atom, force_mae: 4.4678215980529785 meV/AA, max fae: 152.41757202148438 meV/AA 
validation: epoch: 40, nrg_mae: 0.2962365746498108 meV/atom, force_mae: 4.163240909576416 meV/AA, max fae: 144.0921173095703 meV/AA 
validation: epoch: 50, nrg_mae: 0.23871809244155884 meV/atom, force_mae: 3.9961962699890137 meV/AA, max fae: 126.53085327148438 meV/AA 
validation: epoch: 60, nrg_mae: 0.201454758644104 meV/atom, force_mae: 3.900512218475342 meV/AA, max fae: 115.73785400390625 meV/AA 
validation: epoch: 70, nrg_mae: 0.1481369137763977 meV/atom, force_mae: 3.7619426250457764 meV/AA, max fae: 106.14399719238281 meV/AA 
validation: epoch: 80, nrg_mae: 0.15694499015808105 meV/atom, force_mae: 3.654351234436035 meV/AA, max fae: 106.3177261352539 meV/AA 
validation: epoch: 90, nrg_mae: 0.13175755739212036 meV/atom, force_mae: 3.55793833732605 meV/AA, max fae: 96.64547729492188 meV/AA 
validation: epoch: 100, nrg_mae: 0.13397783041000366 meV/atom, force_mae: 3.5032851696014404 meV/AA, max fae: 83.42206573486328 meV/AA 
validation: epoch: 110, nrg_mae: 0.1324787735939026 meV/atom, force_mae: 3.5246200561523438 meV/AA, max fae: 82.30370330810547 meV/AA 
validation: epoch: 120, nrg_mae: 0.13706684112548828 meV/atom, force_mae: 3.4761931896209717 meV/AA, max fae: 79.70805358886719 meV/AA 
validation: epoch: 130, nrg_mae: 0.13179481029510498 meV/atom, force_mae: 3.414062738418579 meV/AA, max fae: 79.73836517333984 meV/AA 
validation: epoch: 140, nrg_mae: 0.1207590103149414 meV/atom, force_mae: 3.395852565765381 meV/AA, max fae: 81.59728240966797 meV/AA 
validation: epoch: 150, nrg_mae: 0.10811537504196167 meV/atom, force_mae: 3.4177639484405518 meV/AA, max fae: 82.06079864501953 meV/AA 
validation: epoch: 160, nrg_mae: 0.10379999876022339 meV/atom, force_mae: 3.3010077476501465 meV/AA, max fae: 79.72881317138672 meV/AA 
validation: epoch: 170, nrg_mae: 0.09605437517166138 meV/atom, force_mae: 3.295356273651123 meV/AA, max fae: 80.48550415039062 meV/AA 
validation: epoch: 180, nrg_mae: 0.08775591850280762 meV/atom, force_mae: 3.328836679458618 meV/AA, max fae: 80.53295135498047 meV/AA 
validation: epoch: 190, nrg_mae: 0.08633434772491455 meV/atom, force_mae: 3.3552114963531494 meV/AA, max fae: 74.71147155761719 meV/AA 
validation: epoch: 200, nrg_mae: 0.0887751579284668 meV/atom, force_mae: 3.3775038719177246 meV/AA, max fae: 73.2696533203125 meV/AA 
validation: epoch: 210, nrg_mae: 0.07591098546981812 meV/atom, force_mae: 3.420170307159424 meV/AA, max fae: 68.83785247802734 meV/AA 
validation: epoch: 220, nrg_mae: 0.07994771003723145 meV/atom, force_mae: 3.357802391052246 meV/AA, max fae: 70.59030151367188 meV/AA 
validation: epoch: 230, nrg_mae: 0.08573532104492188 meV/atom, force_mae: 3.2558765411376953 meV/AA, max fae: 66.95036315917969 meV/AA 
validation: epoch: 240, nrg_mae: 0.08353590965270996 meV/atom, force_mae: 3.244215726852417 meV/AA, max fae: 69.2515640258789 meV/AA 
validation: epoch: 250, nrg_mae: 0.07139891386032104 meV/atom, force_mae: 3.2271828651428223 meV/AA, max fae: 69.72657012939453 meV/AA 
validation: epoch: 260, nrg_mae: 0.07130950689315796 meV/atom, force_mae: 3.2225472927093506 meV/AA, max fae: 66.68997192382812 meV/AA 
validation: epoch: 270, nrg_mae: 0.07210969924926758 meV/atom, force_mae: 3.2211029529571533 meV/AA, max fae: 64.4322509765625 meV/AA 
validation: epoch: 280, nrg_mae: 0.06965100765228271 meV/atom, force_mae: 3.2183079719543457 meV/AA, max fae: 67.11530303955078 meV/AA 
validation: epoch: 290, nrg_mae: 0.06952136754989624 meV/atom, force_mae: 3.1457479000091553 meV/AA, max fae: 65.91869354248047 meV/AA 
