      Step     Time          Energy         fmax
BFGS:    0 15:26:58       73.300180       23.9858
BFGS:    1 15:26:59       63.045402       18.6937
BFGS:    2 15:27:00       55.623273       14.6863
BFGS:    3 15:27:01       50.203734       11.3748
BFGS:    4 15:27:01       46.305340        8.8578
BFGS:    5 15:27:02       43.443489        6.8196
BFGS:    6 15:27:03       41.367194        5.1839
BFGS:    7 15:27:04       39.881669        3.8649
BFGS:    8 15:27:05       38.844745        2.8022
BFGS:    9 15:27:06       38.151091        1.9568
BFGS:   10 15:27:06       37.712337        1.2990
BFGS:   11 15:27:07       37.447543        0.7953
BFGS:   12 15:27:08       37.292424        0.4841
BFGS:   13 15:27:09       37.196964        0.4513
BFGS:   14 15:27:09       37.126267        0.4920
BFGS:   15 15:27:10       37.062568        0.5333
BFGS:   16 15:27:11       36.998958        0.5066
BFGS:   17 15:27:12       36.938807        0.4729
BFGS:   18 15:27:13       36.871100        0.5594
BFGS:   19 15:27:14       36.826467        0.6653
BFGS:   20 15:27:14       36.789628        0.5689
BFGS:   21 15:27:15       36.741652        0.3065
BFGS:   22 15:27:16       36.715634        0.2709
BFGS:   23 15:27:17       36.702941        0.2635
BFGS:   24 15:27:17       36.691619        0.1931
BFGS:   25 15:27:18       36.681063        0.1395
BFGS:   26 15:27:19       36.674064        0.0892
BFGS:   27 15:27:20       36.670649        0.0984
BFGS:   28 15:27:20       36.668975        0.0915
BFGS:   29 15:27:21       36.667517        0.0593
BFGS:   30 15:27:22       36.666132        0.0549
BFGS:   31 15:27:23       36.665226        0.0436
