      Step     Time          Energy         fmax
BFGS:    0 15:26:35       73.632243       24.2497
BFGS:    1 15:26:35       63.280488       18.9003
BFGS:    2 15:26:36       55.668287       14.8249
BFGS:    3 15:26:37       50.120719       11.4107
BFGS:    4 15:26:38       46.131087        8.8545
BFGS:    5 15:26:39       43.223032        6.7975
BFGS:    6 15:26:39       41.119281        5.1564
BFGS:    7 15:26:40       39.618945        3.8408
BFGS:    8 15:26:41       38.577792        2.7897
BFGS:    9 15:26:42       37.895015        1.9737
BFGS:   10 15:26:43       37.463435        1.3456
BFGS:   11 15:26:43       37.200407        0.8688
BFGS:   12 15:26:44       37.042894        0.5150
BFGS:   13 15:26:45       36.944488        0.3535
BFGS:   14 15:26:46       36.874305        0.4397
BFGS:   15 15:26:46       36.815767        0.4826
BFGS:   16 15:26:47       36.761180        0.4703
BFGS:   17 15:26:48       36.702466        0.3934
BFGS:   18 15:26:49       36.640709        0.4189
BFGS:   19 15:26:50       36.574677        0.4913
BFGS:   20 15:26:50       36.535791        0.4499
BFGS:   21 15:26:51       36.484391        0.3153
BFGS:   22 15:26:52       36.446703        0.1501
BFGS:   23 15:26:53       36.432273        0.1425
BFGS:   24 15:26:53       36.423882        0.1476
BFGS:   25 15:26:54       36.415339        0.1365
BFGS:   26 15:26:55       36.408098        0.0943
BFGS:   27 15:26:56       36.403258        0.0595
BFGS:   28 15:26:56       36.401147        0.0764
BFGS:   29 15:26:57       36.399937        0.0689
BFGS:   30 15:26:58       36.398684        0.0418
