       Step     Time          Energy         fmax
MDMin:    0 17:20:55       41.657749       12.2320
MDMin:    1 17:21:04       37.848853        1.8129
MDMin:    2 17:21:12       37.615635        0.9511
MDMin:    3 17:21:20       37.545388        0.4363
MDMin:    4 17:21:29       37.491732        0.4156
MDMin:    5 17:21:37       37.453893        0.5701
MDMin:    6 17:21:46       37.440083        0.8888
MDMin:    7 17:21:54       37.414064        0.3759
MDMin:    8 17:22:03       37.399229        0.3289
MDMin:    9 17:22:11       37.386592        0.3593
MDMin:   10 17:22:20       37.376072        0.2949
MDMin:   11 17:22:28       37.366702        0.2934
MDMin:   12 17:22:36       37.358781        0.2529
MDMin:   13 17:22:45       37.351715        0.2843
MDMin:   14 17:22:53       37.345561        0.2626
MDMin:   15 17:23:02       37.339948        0.2400
MDMin:   16 17:23:10       37.335044        0.2436
MDMin:   17 17:23:18       37.330542        0.2293
MDMin:   18 17:23:27       37.326537        0.2581
MDMin:   19 17:23:35       37.322878        0.1999
MDMin:   20 17:23:43       37.319613        0.2243
MDMin:   21 17:23:52       37.316511        0.1855
MDMin:   22 17:24:00       37.313681        0.2438
MDMin:   23 17:24:08       37.311130        0.1757
MDMin:   24 17:24:17       37.308834        0.2047
MDMin:   25 17:24:25       37.306610        0.1591
MDMin:   26 17:24:34       37.304485        0.2226
MDMin:   27 17:24:42       37.302588        0.1668
MDMin:   28 17:24:50       37.300906        0.1903
MDMin:   29 17:24:59       37.299281        0.1407
MDMin:   30 17:25:07       37.297645        0.1976
MDMin:   31 17:25:16       37.296148        0.1568
MDMin:   32 17:25:24       37.294855        0.1833
MDMin:   33 17:25:32       37.293647        0.1268
MDMin:   34 17:25:41       37.292396        0.1726
MDMin:   35 17:25:49       37.291180        0.1431
MDMin:   36 17:25:58       37.290133        0.1818
MDMin:   37 17:26:06       37.289218        0.1182
MDMin:   38 17:26:14       37.288264        0.1512
MDMin:   39 17:26:23       37.287282        0.1267
MDMin:   40 17:26:31       37.286398        0.1786
MDMin:   41 17:26:40       37.285661        0.1152
MDMin:   42 17:26:48       37.284951        0.1360
MDMin:   43 17:26:56       37.284169        0.1105
MDMin:   44 17:27:05       37.283412        0.1665
MDMin:   45 17:27:13       37.282788        0.1163
MDMin:   46 17:27:21       37.282248        0.1277
MDMin:   47 17:27:30       37.281659        0.0970
MDMin:   48 17:27:38       37.281028        0.1470
MDMin:   49 17:27:47       37.280473        0.1158
MDMin:   50 17:27:55       37.280027        0.1274
MDMin:   51 17:28:03       37.279576        0.0882
MDMin:   52 17:28:12       37.279078        0.1267
MDMin:   53 17:28:20       37.278591        0.1084
MDMin:   54 17:28:29       37.278198        0.1346
MDMin:   55 17:28:37       37.277854        0.0839
MDMin:   56 17:28:45       37.277470        0.1098
MDMin:   57 17:28:54       37.277058        0.0963
MDMin:   58 17:29:02       37.276692        0.1394
MDMin:   59 17:29:11       37.276414        0.0849
MDMin:   60 17:29:19       37.276127        0.0994
MDMin:   61 17:29:27       37.275796        0.0842
MDMin:   62 17:29:36       37.275462        0.1318
MDMin:   63 17:29:44       37.275208        0.0910
MDMin:   64 17:29:52       37.274985        0.0952
MDMin:   65 17:30:01       37.274732        0.0744
MDMin:   66 17:30:09       37.274445        0.1153
MDMin:   67 17:30:18       37.274202        0.0984
MDMin:   68 17:30:26       37.274017        0.0988
MDMin:   69 17:30:34       37.273822        0.0691
MDMin:   70 17:30:43       37.273592        0.0989
MDMin:   71 17:30:51       37.273369        0.0943
MDMin:   72 17:30:59       37.273187        0.1107
MDMin:   73 17:31:08       37.273041        0.0676
MDMin:   74 17:31:17       37.272861        0.0862
MDMin:   75 17:31:26       37.272661        0.0818
MDMin:   76 17:31:34       37.272487        0.1185
MDMin:   77 17:31:43       37.272365        0.0714
MDMin:   78 17:31:51       37.272227        0.0801
MDMin:   79 17:32:00       37.272066        0.0698
MDMin:   80 17:32:08       37.271909        0.1110
MDMin:   81 17:32:17       37.271774        0.0829
MDMin:   82 17:32:25       37.271673        0.0792
MDMin:   83 17:32:34       37.271551        0.0631
MDMin:   84 17:32:42       37.271404        0.0962
MDMin:   85 17:32:51       37.271278        0.0898
MDMin:   86 17:33:00       37.271179        0.0877
MDMin:   87 17:33:08       37.271098        0.0606
MDMin:   88 17:33:18       37.270979        0.0827
MDMin:   89 17:33:26       37.270855        0.0805
MDMin:   90 17:33:35       37.270758        0.1039
MDMin:   91 17:33:44       37.270682        0.0615
MDMin:   92 17:33:53       37.270594        0.0737
MDMin:   93 17:34:01       37.270486        0.0697
MDMin:   94 17:34:10       37.270382        0.1100
MDMin:   95 17:34:19       37.270316        0.0689
MDMin:   96 17:34:27       37.270242        0.0710
MDMin:   97 17:34:36       37.270164        0.0625
MDMin:   98 17:34:45       37.270074        0.0986
MDMin:   99 17:34:53       37.269993        0.0792
MDMin:  100 17:35:02       37.269938        0.0740
       Step     Time          Energy         fmax
MDMin:    0 19:02:10       37.278311        0.0990
MDMin:    1 19:02:19       37.277743        0.0710
MDMin:    2 19:02:28       37.276770        0.0553
MDMin:    3 19:02:36       37.276021        0.0729
MDMin:    4 19:02:45       37.275801        0.1738
MDMin:    5 19:02:54       37.275444        0.0504
MDMin:    6 19:03:03       37.275285        0.0503
MDMin:    7 19:03:12       37.275088        0.0493
