       Step     Time          Energy         fmax
MDMin:    0 15:27:44       41.709259       12.2716
MDMin:    1 15:27:49       37.851521        1.7458
MDMin:    2 15:27:52       37.629544        0.9952
MDMin:    3 15:27:56       37.556769        0.4395
MDMin:    4 15:28:00       37.498369        0.3553
MDMin:    5 15:28:04       37.441674        0.2973
MDMin:    6 15:28:08       37.418865        0.5552
MDMin:    7 15:28:12       37.396532        0.2340
MDMin:    8 15:28:16       37.382701        0.2251
MDMin:    9 15:28:20       37.372235        0.2126
MDMin:   10 15:28:24       37.364267        0.2328
MDMin:   11 15:28:28       37.357255        0.1799
MDMin:   12 15:28:33       37.350780        0.2791
MDMin:   13 15:28:36       37.345543        0.2272
MDMin:   14 15:28:40       37.341433        0.2460
MDMin:   15 15:28:44       37.337662        0.1734
MDMin:   16 15:28:48       37.333757        0.2510
MDMin:   17 15:28:52       37.330320        0.2150
MDMin:   18 15:28:55       37.327637        0.2328
MDMin:   19 15:28:59       37.325272        0.1492
MDMin:   20 15:29:03       37.322687        0.2029
MDMin:   21 15:29:07       37.320150        0.1833
MDMin:   22 15:29:12       37.318163        0.2306
MDMin:   23 15:29:16       37.316573        0.1315
MDMin:   24 15:29:19       37.314844        0.1645
MDMin:   25 15:29:23       37.312928        0.1501
MDMin:   26 15:29:27       37.311312        0.2262
MDMin:   27 15:29:31       37.310141        0.1256
MDMin:   28 15:29:35       37.308990        0.1399
MDMin:   29 15:29:39       37.307611        0.1211
MDMin:   30 15:29:43       37.306272        0.1988
MDMin:   31 15:29:47       37.305306        0.1338
MDMin:   32 15:29:51       37.304534        0.1228
MDMin:   33 15:29:55       37.303590        0.0966
MDMin:   34 15:29:58       37.302502        0.1576
MDMin:   35 15:30:02       37.301614        0.1407
MDMin:   36 15:30:06       37.301028        0.1186
MDMin:   37 15:30:11       37.300400        0.0830
MDMin:   38 15:30:15       37.299601        0.1239
MDMin:   39 15:30:19       37.298821        0.1237
MDMin:   40 15:30:23       37.298301        0.1407
MDMin:   41 15:30:27       37.297897        0.0741
MDMin:   42 15:30:31       37.297362        0.0956
MDMin:   43 15:30:34       37.296715        0.0950
MDMin:   44 15:30:38       37.296176        0.1616
MDMin:   45 15:30:42       37.295858        0.0764
MDMin:   46 15:30:45       37.295517        0.0834
MDMin:   47 15:30:49       37.295062        0.0756
MDMin:   48 15:30:53       37.294589        0.1321
MDMin:   49 15:30:58       37.294275        0.0963
MDMin:   50 15:31:02       37.294064        0.0721
MDMin:   51 15:31:05       37.293764        0.0588
MDMin:   52 15:31:09       37.293371        0.0916
MDMin:   53 15:31:13       37.293011        0.1016
MDMin:   54 15:31:17       37.292819        0.0913
MDMin:   55 15:31:21       37.292657        0.0538
MDMin:   56 15:31:25       37.292418        0.0676
MDMin:   57 15:31:28       37.292121        0.0710
MDMin:   58 15:31:32       37.291877        0.1236
MDMin:   59 15:31:37       37.291754        0.0556
MDMin:   60 15:31:41       37.291608        0.0597
MDMin:   61 15:31:45       37.291405        0.0571
MDMin:   62 15:31:49       37.291189        0.0954
MDMin:   63 15:31:53       37.291052        0.0746
MDMin:   64 15:31:57       37.290971        0.0502
MDMin:   65 15:32:02       37.290842        0.0448
